mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__metric,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015825510025024414,0.0019615661832193634,0.30545768737792967,0.11168056417604723,euclidean,3,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.822802420287843,0.8151392359664954,0.8107515965569901,0.8047630616872599,0.8239824841501227,0.8154877597297423,0.00725584537560371,24
0.016256141662597656,0.0023071407414077907,0.09476866722106933,0.010689078466803342,euclidean,3,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.8201978920820029,0.8167632699338239,0.8109583969642279,0.8088990698320144,0.8258624878522838,0.8165362233328706,0.006162415738455288,23
0.01676454544067383,0.002753030483014811,0.09231915473937988,0.007665304649147373,euclidean,5,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.8269442130593734,0.8366479244759129,0.8235775602758111,0.8102194108936092,0.8276210143921514,0.8250020246193716,0.008565196484216398,22
0.01610736846923828,0.0024286499749235748,0.10556926727294921,0.008606671822157252,euclidean,5,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.8291004326900828,0.8370109098060994,0.8261314729973623,0.8134573557314082,0.8322733004766533,0.8275946943403213,0.007935075005270957,21
0.014994525909423828,0.001196669914709363,0.10784120559692383,0.01346820617675532,euclidean,7,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.8288777245592115,0.8391786986903605,0.8235847910592807,0.8186794275533342,0.8413522722013976,0.8303345828127171,0.008753657908880308,20
0.015702438354492188,0.002671956356069266,0.09234480857849121,0.006247307481238206,euclidean,7,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.8311901291128696,0.8414578416400574,0.827304306076172,0.8202080151788607,0.8432019066129853,0.8326724397241889,0.00865365752318855,19
0.01551070213317871,0.00121860075003656,0.09526395797729492,0.001489463190081744,euclidean,11,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.8330484404646211,0.8386002360127726,0.8378641422555417,0.8271336595862836,0.8478672081077329,0.8369027372853906,0.006845668775713194,16
0.01594710350036621,0.0012629757182139247,0.09626584053039551,0.007048452563952237,euclidean,11,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.835333368041094,0.8415156879078162,0.8389415289925494,0.8266332893701698,0.8488693946966541,0.8382586538016568,0.007312575565170254,14
0.014717531204223634,0.0016549134854846202,0.09758901596069336,0.003982811417883292,euclidean,15,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 15, 'clf__weights': 'uniform'}",0.8379465731870979,0.8443226780508121,0.8437225230228146,0.8235471909852377,0.8401490698320144,0.8379376070155953,0.007565832499371847,15
0.014577627182006836,0.0018993766422607057,0.09686093330383301,0.0031149591192694654,euclidean,15,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 15, 'clf__weights': 'distance'}",0.8394766069693184,0.8463386204822065,0.8440146466749966,0.823768452959415,0.8424209819982413,0.8392038618168357,0.008033984452812254,13
0.015792989730834962,0.0018721366035511983,0.10853629112243653,0.0033237658047964485,euclidean,25,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 25, 'clf__weights': 'uniform'}",0.8515086306631495,0.8469373293535102,0.8576895043731779,0.8296875723078346,0.8443559396547734,0.8460357952704891,0.009345158486771768,12
0.015054798126220703,0.0008935442919457029,0.10611343383789062,0.005998013918458622,euclidean,25,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 25, 'clf__weights': 'distance'}",0.851343768800037,0.8488881947336759,0.856428455736036,0.8297931417464945,0.8454000647878198,0.8463707251608126,0.009033108145373643,11
0.016171693801879883,0.002444889421610581,0.2756207466125488,0.009005248081379298,manhattan,3,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.8319059766763848,0.8460508353001065,0.8238132838169281,0.8367260169373871,0.838870667314545,0.8354733560090704,0.007398343469847518,18
0.018218231201171876,0.008160803604747859,0.2872560977935791,0.021255063722058064,manhattan,3,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.8327823476329306,0.8467507751399881,0.8260042112082928,0.8371786639825998,0.8405337475126105,0.8366499490952843,0.007009710302059381,17
0.014655256271362304,0.0007493699553779236,0.29328193664550783,0.03183848009700284,manhattan,5,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.8452149567309917,0.8630836688416863,0.8371598639455782,0.8398931000971818,0.8541160511823778,0.8478935281595632,0.009548332925176326,10
0.012902641296386718,0.000619851800870742,0.2731495380401611,0.00861858913323183,manhattan,5,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.8466350826044702,0.8660801055115925,0.8405670091165718,0.8432611990374381,0.8526858022120414,0.8498458396964228,0.009070611052059986,9
0.01692514419555664,0.006557847369536017,0.2971963405609131,0.01937362162793033,manhattan,7,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.8534002036188626,0.8625847447822667,0.8467319751029664,0.8472106529686705,0.8585383983525382,0.8536931949650608,0.006214554379039657,8
0.013758516311645508,0.001285095644645397,0.2852926254272461,0.008673901784143909,manhattan,7,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.85226641677079,0.8648769031422092,0.8464760053681336,0.849018348836133,0.8581609514554122,0.8541597251145356,0.006632128357769321,7
0.01655917167663574,0.00435820150699557,0.27327537536621094,0.007624424550908094,manhattan,11,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'uniform'}",0.8623388981442917,0.8641104400944051,0.8557357466796243,0.8491832106992458,0.8558369776482021,0.8574410546531539,0.00533184204786954,6
0.01637721061706543,0.0036659736318592514,0.27590270042419435,0.004298152211693706,manhattan,11,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.8607076333934935,0.866729429867185,0.8568680873710027,0.8521044472210653,0.8562317784256559,0.8585282752556805,0.004925529960840898,5
0.017281389236450194,0.0050064881088334404,0.3397224903106689,0.019253277452429333,manhattan,15,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 15, 'clf__weights': 'uniform'}",0.8667540145309824,0.8689478342357351,0.8580597204868342,0.8512165070109676,0.8674727544078856,0.8624901661344809,0.006803415392675951,4
0.01726818084716797,0.0027936828342151,0.2855443000793457,0.008490004975102916,manhattan,15,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 15, 'clf__weights': 'distance'}",0.8656520431301772,0.8706441760377621,0.8594306770327178,0.8531774954879912,0.8664763524457402,0.8630761488268777,0.006111373896296123,3
0.017360496520996093,0.0035498812924260542,0.29728403091430666,0.009206137980353128,manhattan,25,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 25, 'clf__weights': 'uniform'}",0.8832850316997547,0.877370250821417,0.8676462932111619,0.8535477116016476,0.8739963672543847,0.8711691309176732,0.010160383942972737,1
0.01390228271484375,0.001694450946674137,0.2932321548461914,0.00984508470581719,manhattan,25,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 25, 'clf__weights': 'distance'}",0.8815134897496414,0.8779154518950436,0.8680758017492711,0.8547075292702114,0.8728669188763941,0.8710158383081124,0.009336344159788427,2
