mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.438021516799927,0.3779049957520173,0.6709943771362304,0.38871800382413785,,2,100,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9030135013188949,0.901409713545282,0.893630836688417,0.8882554722569299,0.8860009139710306,0.894462087556111,0.006814700200913705,12
10.763616847991944,0.9470228232200906,1.385784959793091,0.17847140127190292,,2,300,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.9009657434402333,0.9047170739043916,0.8949439469665418,0.8880298718126706,0.8886618422879355,0.8954636956823545,0.006598403196263315,10
5.161368894577026,0.7671721615675916,1.0999037742614746,0.547452272873438,,5,100,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8986273080660836,0.9067055393586005,0.8958955180711741,0.8851144199176268,0.8915353556388542,0.8955756282104679,0.007197925854419741,9
12.00046682357788,1.2762765297004017,0.9100749015808105,0.24390481903849923,,5,300,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9012376208986996,0.9061473228747281,0.8949627470035634,0.8882540261002361,0.8920328335415798,0.8965269100837615,0.006416028026183848,7
3.4072687149047853,0.2703104710225376,0.5339544773101806,0.2919331106597724,10,2,100,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9020619302142626,0.9092623443935397,0.8971985052524412,0.8988413392567911,0.8878736868897219,0.8990475612013512,0.006953347664745725,1
10.039716339111328,0.17470059358951984,0.9391283988952637,0.7323493254503947,10,2,300,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.90228319218844,0.9092854829006434,0.8973141977879587,0.8973922902494331,0.8888281503077422,0.8990206626868436,0.006715080946862796,2
4.274220752716064,0.4259899140205141,0.6135075092315674,0.32636250036176095,10,5,100,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.9013460826507473,0.904174765144153,0.8956424406497293,0.8969526586144663,0.890913508260447,0.8978058910639086,0.0046045407488343295,4
12.577019786834716,1.7617297580520472,0.8126726150512695,0.39078705025363786,10,5,300,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.9035500254523577,0.9072521865889214,0.8961543801193947,0.8977191216622704,0.8901788606599103,0.8989709148965709,0.005938817836531263,3
5.123919248580933,0.7805748413725843,1.0985283851623535,0.23107081851671316,20,2,100,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9011682053773891,0.9003814961358693,0.8963163496691193,0.8945072076449627,0.8888122425841084,0.8962371002822896,0.004463611436725097,8
14.712016677856445,1.8259549069456908,1.4191134452819825,0.3298982172539205,20,2,300,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.90247986949882,0.9035514716090517,0.8966619811189782,0.8921991415613865,0.8906401846452867,0.8971065296867046,0.005225012094821252,5
4.74472188949585,0.5366888431989011,1.0612743377685547,0.264102319394105,20,5,100,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.900108172520709,0.9041921190244805,0.8919692026470453,0.8903784302836781,0.888839719561294,0.8950975288074414,0.005983888595907208,11
13.25392394065857,2.712572152071914,0.9010201930999756,0.37011379925133875,20,5,300,"{'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.90160928316905,0.9047821509556204,0.8955065019204961,0.8913357860150863,0.8913502475820261,0.8969167939284558,0.00544070413717963,6
