mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.26998038291931153,0.05450529748437103,0.009288597106933593,0.001599198290707843,0.1,l1,liblinear,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8943380073117684,0.9040070109676523,0.8904709843120924,0.894737146559304,0.8827629691332316,0.8932632236568097,0.006881984016636436,12
4.967399740219117,0.26612613690641257,0.008874940872192382,0.0018579464296007043,0.1,l1,saga,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.8972621361469757,0.9067980933870147,0.892414618908788,0.8975050904715627,0.8845590957471423,0.8957078069322966,0.007263325264973192,11
0.13150100708007811,0.00929967266287398,0.008306026458740234,0.0011576786436441999,0.1,l2,liblinear,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.896909273913647,0.9072724327826368,0.8935310518765329,0.8948644083483732,0.8879893794252396,0.896113309269286,0.006314833967175453,10
2.187148189544678,0.15352617423125475,0.00881814956665039,0.002865449358171286,0.1,l2,saga,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9008110046739785,0.9099709611735851,0.8941847147022075,0.8995557406636123,0.8895107362672959,0.8988066314961358,0.006884718098559913,9
3.286316251754761,0.6529583686577032,0.009228134155273437,0.0014933452758471293,1.0,l1,liblinear,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.9053374751261049,0.9145668471470221,0.8978926604655467,0.9044321810356795,0.8900949835716601,0.9024648294692026,0.008154743577298246,3
6.158581399917603,0.24378135847443783,0.010217046737670899,0.0033774758116894123,1.0,l1,saga,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.9014183904854458,0.9107200703410616,0.8954226248322459,0.9027430700171224,0.8876191633115832,0.8995846637974918,0.007717915943198629,7
0.1419499397277832,0.004809932559229312,0.007905387878417968,0.0017834257344390258,1.0,l2,liblinear,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9013402980239715,0.9106737933268546,0.8958275487065575,0.9012824517562128,0.8881744874820676,0.8994597158591328,0.0073913937336343265,8
4.666385173797607,0.11449495059559177,0.007306146621704102,0.00045096634179226855,1.0,l2,saga,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9020344532370772,0.9106940395205702,0.8952722245360729,0.902575315840622,0.8882959646443611,0.8997743995557407,0.0075394371084509335,5
9.048222875595092,0.7266097558131589,0.009057569503784179,0.001491321270166644,10.0,l1,liblinear,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.9063179693646166,0.915723772502198,0.9006982044518488,0.9048747049840344,0.8923885880882967,0.9040006478781988,0.007606729531066515,1
5.953702211380005,0.3895370473029958,0.006892871856689453,0.0004976203085654216,10.0,l1,saga,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.9017799296589384,0.9109109630246657,0.8951970243879865,0.9030872553102873,0.8878881484566616,0.899772664167708,0.007762158510382683,6
0.11508169174194335,0.01866357548804699,0.007366037368774414,0.0006436637137695753,10.0,l2,liblinear,"{'clf__C': 10.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9051089823684576,0.9143730621500301,0.8981905687445046,0.9043714424545328,0.8911506779582581,0.9026389467351568,0.007727360069971941,2
4.008323717117309,0.12725441741188923,0.007691574096679687,0.0007481697852230664,10.0,l2,saga,"{'clf__C': 10.0, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9018262066731455,0.9108820398907862,0.89522016289509,0.903061224489796,0.8879402100976446,0.8997859688092925,0.007735389413081672,4
