mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11972193717956543,0.010488424488315596,0.009374475479125977,0.0010439680101543137,3,1,2,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.887140485445879,0.893149266509325,0.8857709750566894,0.8771345272802998,0.8777288976815216,0.8841848303947429,0.006049772024225676,4
0.11067872047424317,0.00911161113179714,0.008258533477783204,0.002012525441697203,3,1,5,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.887140485445879,0.893149266509325,0.8857709750566894,0.8771345272802998,0.8777288976815216,0.8841848303947429,0.006049772024225676,4
0.11315836906433105,0.006122911726616042,0.00950760841369629,0.0026873702571860846,3,1,10,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.887140485445879,0.893149266509325,0.8857709750566894,0.8771345272802998,0.8777288976815216,0.8841848303947429,0.006049772024225676,4
0.10464935302734375,0.004631553553259611,0.00818943977355957,0.0011111355085307686,3,2,2,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.887140485445879,0.893149266509325,0.8857709750566894,0.8771345272802998,0.8777288976815216,0.8841848303947429,0.006049772024225676,4
0.10679230690002442,0.004148257278447028,0.008051204681396484,0.000770697361667929,3,2,5,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.887140485445879,0.893149266509325,0.8857709750566894,0.8771345272802998,0.8777288976815216,0.8841848303947429,0.006049772024225676,4
0.10928549766540527,0.0039066210055790805,0.008205747604370118,0.0009379288067318775,3,2,10,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}",0.887140485445879,0.893149266509325,0.8857709750566894,0.8771345272802998,0.8777288976815216,0.8841848303947429,0.006049772024225676,4
0.10190753936767578,0.0027534760333134236,0.007911491394042968,0.00154499745891916,3,5,2,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}",0.887140485445879,0.8937696677310382,0.8857709750566894,0.8782538525614327,0.8777288976815216,0.8845327756953122,0.005989509062170009,1
0.10336661338806152,0.0064324983884998495,0.00713953971862793,0.0005114656051179455,3,5,5,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5}",0.887140485445879,0.8937696677310382,0.8857709750566894,0.8782538525614327,0.8777288976815216,0.8845327756953122,0.005989509062170009,1
0.10438556671142578,0.006517654909890833,0.009152936935424804,0.0023651055433961143,3,5,10,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.887140485445879,0.8937696677310382,0.8857709750566894,0.8782538525614327,0.8777288976815216,0.8845327756953122,0.005989509062170009,1
0.23273081779479982,0.010797540389245281,0.007016658782958984,0.0006638719162461039,10,1,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.834177888842612,0.8541883590170761,0.8275385834605952,0.8188992433708178,0.8519699546485262,0.8373548058679254,0.013740668809959168,24
0.2330385684967041,0.013181462744144421,0.007910823822021485,0.0006515657348556174,10,1,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.837415833680411,0.8523893400897774,0.8304207737516773,0.8222601115276043,0.85197140080522,0.8388914919709378,0.011864310927683967,23
0.23059239387512206,0.0172699200871734,0.00811629295349121,0.0008384773712506752,10,1,10,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.8515173076033133,0.8574552269887548,0.8430543986302004,0.8321619464112177,0.8564125480124023,0.8481202855291776,0.009463343020240083,14
0.22282328605651855,0.005751646754042241,0.006757354736328125,0.0005113683720890717,10,2,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.8459322504512011,0.8641176708778749,0.8303397889768153,0.819512413809061,0.8554725461613217,0.8430749340552548,0.0162606155875249,21
0.22759780883789063,0.00814708355134794,0.008066987991333008,0.0014016258738072515,10,2,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.8439669235040955,0.8638964089036975,0.8333680410939887,0.8213765097875885,0.8515954000647877,0.8428406566708316,0.014640346705304815,22
0.22663168907165526,0.00772232069098633,0.00747222900390625,0.0008424005756520187,10,2,10,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}",0.8496647808783377,0.8694973737794438,0.8455085265398676,0.8287403396732842,0.8549620528483501,0.8496746147438566,0.013240083367188597,13
0.2148433208465576,0.010670781966333786,0.0076160430908203125,0.00044095174270401415,10,5,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}",0.8546612522560045,0.8687916493127863,0.8607857258549678,0.8525787866166875,0.8555969156370029,0.8584828659354897,0.005820064799846085,10
0.2094709873199463,0.013389235428893894,0.007797861099243164,0.00033787042409563154,10,5,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5}",0.8546612522560045,0.8687916493127863,0.8607857258549678,0.8525787866166875,0.8555969156370029,0.8584828659354897,0.005820064799846085,10
0.2122347831726074,0.00606341403867462,0.00781545639038086,0.0006234499617807472,10,5,10,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.8546612522560045,0.8687916493127863,0.8607857258549678,0.8525787866166875,0.8555969156370029,0.8584828659354897,0.005820064799846085,10
0.31322708129882815,0.026506263818189893,0.008289051055908204,0.0005262306782585038,20,1,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.8039098292378176,0.8170192396686565,0.7900440788560321,0.7696952080151789,0.7971461543801195,0.795562902031561,0.01569807191696312,35
0.35953540802001954,0.012373730179655722,0.01155233383178711,0.005946265308029757,20,1,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.8160908070711277,0.8209600166597251,0.7915827895784164,0.7849521611365635,0.8023132722476746,0.8031798093387016,0.013786359545991582,33
0.3312660217285156,0.008933803771934687,0.008012151718139649,0.0008942443244735311,20,1,10,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.8323658545050674,0.8467247443194965,0.8135180943125548,0.8088932852052386,0.8231625133046416,0.8249328983293998,0.013570811266959103,27
0.329868221282959,0.04654016810679071,0.008527374267578125,0.0012737034178189745,20,2,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.82082697024388,0.8279651996853165,0.7976277245592115,0.7828581262436949,0.8059243255125179,0.8070404692489241,0.016140280085402442,31
0.367646312713623,0.011445585382469961,0.008326435089111328,0.001332842892498029,20,2,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.8224018348836134,0.8314620065713361,0.797795478735712,0.7904374334767922,0.8065056805034939,0.8097204868341896,0.015217668766984169,29
0.3208796501159668,0.010423904552415755,0.008834075927734376,0.0013315048894492405,20,2,10,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}",0.8480957008653802,0.8506727520940349,0.8087587926326993,0.8148312045906798,0.8349848442778471,0.8314686588921283,0.017030338759452066,25
0.31855101585388185,0.028376283062520307,0.009501504898071288,0.0020214748666240656,20,5,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}",0.851348107270119,0.8659629668193809,0.8390066060437781,0.8351641677078994,0.8385958975426905,0.8460155490767736,0.011386523968474742,18
0.3430499076843262,0.03384218930477134,0.012709379196166992,0.003773236826019133,20,5,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5}",0.851348107270119,0.8659629668193809,0.8390066060437781,0.8351641677078994,0.8385958975426905,0.8460155490767736,0.011386523968474742,18
0.3280788421630859,0.015852210219447743,0.00888376235961914,0.0013931472126423722,20,5,10,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.851348107270119,0.8659629668193809,0.8390066060437781,0.8351641677078994,0.8385958975426905,0.8460155490767736,0.011386523968474742,18
0.3669765472412109,0.009663920354481301,0.0092132568359375,0.0014489022281581442,,1,2,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.8120748299319728,0.814625850340136,0.7857142857142856,0.7678571428571428,0.7882653061224488,0.7937074829931972,0.01753103592496826,36
0.3562924861907959,0.01630711320433134,0.008262729644775391,0.000697747303601828,,1,5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.805828879170716,0.8163308690823269,0.8002886528761164,0.7867699801008838,0.8025301957517701,0.8023497153963627,0.009535050526426843,34
0.35200085639953616,0.0319531157008139,0.011120414733886719,0.003770569817558975,,1,10,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10}",0.8301705886436206,0.8388981442917304,0.8143120343375445,0.8043002915451894,0.825703410615947,0.8226768938868064,0.01213354538640803,28
0.3892835140228271,0.022896828509737423,0.012304258346557618,0.004205694342946574,,2,2,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.8139823106113193,0.8294084640658985,0.7971721852006108,0.7832963117219677,0.797072400388727,0.8041863343977047,0.0159268099028831,32
0.3881340980529785,0.014783849885515806,0.010056257247924805,0.004520165757388913,,2,5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.8163265306122449,0.8302183118145217,0.7992271738627426,0.7872501041232819,0.8056943865981767,0.8077433014021935,0.014666230132936298,30
0.32766170501708985,0.013802182476017702,0.009363269805908203,0.0036448189000821167,,2,10,"{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}",0.840217039196631,0.8510646605581007,0.8169093317599149,0.8145868041093989,0.8257540261002358,0.8297063723448563,0.013961641918239186,26
0.28682990074157716,0.007889564815620451,0.00693964958190918,0.0005292361249987278,,5,2,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}",0.8544038363644778,0.863155976676385,0.8457413577675968,0.834167765745754,0.8402734393076959,0.8475484751723819,0.010255001561955473,15
0.2703250408172607,0.009939190083193583,0.009194231033325196,0.002536899146763372,,5,5,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5}",0.8544038363644778,0.863155976676385,0.8457413577675968,0.834167765745754,0.8402734393076959,0.8475484751723819,0.010255001561955473,15
0.2755413055419922,0.028870652217482994,0.009100818634033203,0.001901957029789736,,5,10,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 10}",0.8544038363644778,0.863155976676385,0.8457413577675968,0.834167765745754,0.8402734393076959,0.8475484751723819,0.010255001561955473,15
