index,mean_abs,variance,std,rms,energy,skewness,kurtosis,peak,papr,fft_peak,dominant_bin,spectral_centroid,spectral_bandwidth,spectral_entropy,spectral_flatness,psd_max,psd_mean,autocorr_peak,cov_trace,max_eigenvalue,eigenvalue_ratio
0,0.8809021375913555,0.2333341466005514,0.48304673335046105,1.0046505475107108,1.0093227226135708,0.6112528067817371,-0.13414667033384697,2.5254554720491376,6.319014918024851,87.85811999547917,28,0.0064189369777636835,0.28889366139361644,7.870236896780387,0.9078265801042179,2.5158573900498014,1.005278965652967,0.0779579667291372,8.071462111835135,1.131352166180606,1.327205895933876
1,0.9022553253954668,0.2145353296150752,0.4631795867858116,1.014199192377688,1.0286000018195547,0.5536060332248248,-0.07744318707135323,2.4390972407668206,5.783779252757759,83.80001543024117,-398,-0.004505220052437237,0.28933666595745794,7.895175241073783,0.9265327516838002,2.391097573872409,1.012087450382657,0.05231465302318427,8.217195267015919,1.1509739175644123,1.297141689030663
2,0.9133217290204754,0.22400710071028143,0.47329388408290407,1.0286708323906302,1.058163681411232,0.8088967370013855,0.7546078592832002,3.1242169277114944,9.224216992944148,91.061517512171,-427,0.004726077588227031,0.2874201480586511,7.901512916380106,0.9307659067383135,3.0516799456184054,1.0394634766210342,0.055781846983590046,8.44863119477282,1.1545530421842034,1.181997889098041
3,0.8820466220847141,0.21148129752362216,0.45987095746918194,0.9947298834631825,0.9894875410546766,0.5680052700424981,0.29539712958210496,2.7013411826923495,7.3747711643992275,78.534593213735,-461,-0.0032729251588858276,0.2888050305025083,7.889998860550246,0.9187931801189521,2.063725848007821,0.9872887090515,0.08383227745768222,7.926710914925664,1.0893364231521443,1.1935155234991108
4,0.8885827187991002,0.21325449954154713,0.46179486738328646,1.0014158714989232,1.0028337476899478,0.6671634078548048,0.4275861430142207,2.8117125128863174,7.883387723363561,86.95491261709991,328,-0.007308368147087293,0.2904155726017999,7.897573481836762,0.9266676190487602,2.5093691763847903,1.018766693110849,0.048426804646034556,8.019157885466521,1.1334668242070265,1.2694768935598897
5,0.8785550354617737,0.20469708282247406,0.45243461717962524,0.988208496805058,0.9765560331577123,0.6406114194852378,0.35871222408711656,2.6682495388093392,7.290473213633983,74.14505287755564,135,-0.0003334791447473206,0.2822536670617331,7.885496186067861,0.9218408293881544,2.475983966846059,0.9735714643168281,0.06767457354413778,7.77600062922763,1.0704944975745767,1.3555761938531292
6,0.8930756200585892,0.2356904016389298,0.4854795584151096,1.0165010894150401,1.0332744647819634,0.7666885162023697,0.50919641682867,2.8522451360905032,7.873321749086997,79.80758341895192,-137,0.0035718299993053038,0.28853993803636474,7.89655084129113,0.925927446507161,2.423678916758459,1.0350714682706208,0.046731998923197036,8.275322182004727,1.1736339899068804,1.2719588058292302
7,0.9100438373257691,0.22923587943795998,0.47878583880265296,1.0283071843046565,1.057415665292571,0.6785827841830089,0.3960339964589745,2.9180333014790323,8.052574430299003,83.53416153449133,-25,0.002240516261565995,0.29003154779260715,7.897441118652911,0.9261290507385789,2.447523824681041,1.0429715650061726,0.0703419238459266,8.444910374778324,1.1714065536230431,1.3296717102047992
8,0.8923281855870128,0.22333673397952802,0.47258516055789146,1.009745673312116,1.0195863247725383,0.6315054184374116,0.09764647760313538,2.6583194599406434,6.930911271950121,82.97854679695058,355,-0.003768137795896515,0.28828784543846137,7.901346773508074,0.9293469762683702,2.6280496307669963,1.0055555460921375,0.07132027784176484,8.161021273991771,1.178692156704744,1.3422522536088821
9,0.9197893909789235,0.21537281485536452,0.46408276724671055,1.0302355743288734,1.0613853386127436,0.6151672782744464,0.23607096147303785,2.7313803400217376,7.028963271342345,91.87173284398791,-386,-0.007692373833386986,0.2878396457512323,7.892535508297008,0.9183299382852831,2.4968019195984743,1.0664189160244009,0.06556313401939051,8.466970924406706,1.219133424564497,1.3374275362598111
10,0.8894426354652469,0.21545180098972502,0.4641678586349178,1.0032746397537862,1.0065600027730892,0.6542140584619084,0.4620697586539224,3.202215051914576,10.187352180145888,86.80438496220962,-247,0.002147020415701984,0.28797735959717935,7.899823236370524,0.9284087204421914,2.1783043423424546,1.0235399527770879,0.055531746349536684,8.03742350106278,1.1203067890254825,1.263499405806557
11,0.9073691233585213,0.22199981275863317,0.4711685608767134,1.0224082055534593,1.0453185387830446,0.7887598561311427,0.6723477802741535,2.7450207002499494,7.2084616939501425,82.25392381911321,187,0.012838209737679507,0.2840481956666874,7.876128995706376,0.912235051246111,2.7364974431220768,1.0245479866065992,0.04118988254265094,8.343079098872792,1.1784083445391464,1.3817667159574218
12,0.8924784899603412,0.22051544376267312,0.46959071941710384,1.0084806883647122,1.0170332988045638,0.6229824165487213,0.20636881068993995,2.7773414456912358,7.584437515480968,92.63436328688144,190,-0.002692818818561803,0.28685476546761396,7.880698464102366,0.9186538458364589,2.7141177331424746,1.0112552677247653,0.08236569743584309,8.150936363320266,1.1799693968270684,1.3590761475204076
13,0.8893440606776126,0.22492134712488138,0.47425873436857374,1.0078959298396963,1.0158542053874262,0.661586983135499,0.32201838946386463,3.0910319920137073,9.405364199874464,120.29866406948113,234,-0.00018175248834596328,0.28975980353250075,7.884292266637679,0.9195542422576966,2.5726242420997183,1.035916829627768,0.06204177740329528,8.11045375203484,1.1426091708089416,1.246315931310087
