model,feature_set,detector,snr_db,channel,Pd,Pfa_achieved,threshold
SVM,FS2_freq,SVM_FS2_freq,-10,awgn,0.9333333333333333,0.1,0.420203339518732
SVM,FS2_freq,SVM_FS2_freq,-10,rayleigh,0.8,0.1,0.44726682801336537
SVM,FS2_freq,SVM_FS2_freq,-10,rician,0.8666666666666667,0.1,0.2677580707750153
SVM,FS2_freq,SVM_FS2_freq,-5,awgn,1.0,0.1,0.27263456900440713
SVM,FS2_freq,SVM_FS2_freq,-5,rayleigh,0.8666666666666667,0.1,0.48119119811072564
SVM,FS2_freq,SVM_FS2_freq,-5,rician,1.0,0.1,0.340844522085212
SVM,FS2_freq,SVM_FS2_freq,0,awgn,1.0,0.1,0.43957666445636284
SVM,FS2_freq,SVM_FS2_freq,0,rayleigh,1.0,0.1,0.3423283265706193
SVM,FS2_freq,SVM_FS2_freq,0,rician,1.0,0.1,0.48393345920577874
SVM,FS2_freq,SVM_FS2_freq,5,awgn,1.0,0.1,0.41084391691089966
SVM,FS2_freq,SVM_FS2_freq,5,rayleigh,1.0,0.1,0.33033190851310906
SVM,FS2_freq,SVM_FS2_freq,5,rician,1.0,0.1,0.4490919484832465
SVM,FS2_freq,SVM_FS2_freq,10,awgn,1.0,0.1,0.40551992936974124
SVM,FS2_freq,SVM_FS2_freq,10,rayleigh,1.0,0.1,0.44770788699518727
SVM,FS2_freq,SVM_FS2_freq,10,rician,1.0,0.1,0.41928255209871335
RF,FS2_freq,RF_FS2_freq,-20,awgn,0.13333333333333333,0.1,0.461194804715455
RF,FS2_freq,RF_FS2_freq,-20,rayleigh,0.26666666666666666,0.1,0.29465888471983076
RF,FS2_freq,RF_FS2_freq,-20,rician,0.16666666666666666,0.1,0.4542068159722593
RF,FS2_freq,RF_FS2_freq,-15,awgn,0.4,0.1,0.3760060527028264
RF,FS2_freq,RF_FS2_freq,-15,rayleigh,0.4666666666666667,0.1,0.3386154747011958
RF,FS2_freq,RF_FS2_freq,-15,rician,0.3333333333333333,0.1,0.4773201108797148
