model,training,snr_db,channel,threshold,n_h0,n_h1_all,n_h1_16qam,n_h1_fsk,Pd_all,Pd_16qam_only,Pd_fsk_only
LOGREG,config2_no_fsk,10,rayleigh,0.330043662769653,30,30,13,6,1.0,1.0,1.0
LOGREG,config2_no_fsk,10,rician,0.35545132849837563,30,30,7,9,1.0,1.0,1.0
DTREE,config2_no_fsk,-20,awgn,0.29979166666666696,30,30,6,7,0.13333333333333333,0.16666666666666666,0.14285714285714285
DTREE,config2_no_fsk,-20,rayleigh,0.14122657146500076,30,30,9,7,0.36666666666666664,0.3333333333333333,0.42857142857142855
DTREE,config2_no_fsk,-20,rician,0.2659560067681898,30,30,13,1,0.16666666666666666,0.38461538461538464,0.0
DTREE,config2_no_fsk,-15,awgn,0.2436548223350254,30,30,4,11,0.4,0.75,0.2727272727272727
DTREE,config2_no_fsk,-15,rayleigh,0.2474143401015229,30,30,8,8,0.36666666666666664,0.25,0.375
DTREE,config2_no_fsk,-15,rician,0.4666666666666667,30,30,5,11,0.36666666666666664,0.6,0.36363636363636365
DTREE,config2_no_fsk,-10,awgn,0.2436548223350254,30,30,5,7,1.0,1.0,1.0
DTREE,config2_no_fsk,-10,rayleigh,0.2436548223350254,30,30,10,6,0.6666666666666666,0.6,0.5
DTREE,config2_no_fsk,-10,rician,0.2436548223350254,30,30,12,9,0.8,0.9166666666666666,0.6666666666666666
DTREE,config2_no_fsk,-5,awgn,0.21967340012206563,30,30,7,4,1.0,1.0,1.0
DTREE,config2_no_fsk,-5,rayleigh,0.4666666666666667,30,30,7,7,0.8333333333333334,0.8571428571428571,0.7142857142857143
DTREE,config2_no_fsk,-5,rician,0.21700879765395895,30,30,6,8,1.0,1.0,1.0
DTREE,config2_no_fsk,0,awgn,0.2436548223350254,30,30,5,7,1.0,1.0,1.0
DTREE,config2_no_fsk,0,rayleigh,0.14122657146500076,30,30,5,10,1.0,1.0,1.0
DTREE,config2_no_fsk,0,rician,0.2436548223350254,30,30,7,6,1.0,1.0,1.0
DTREE,config2_no_fsk,5,awgn,0.2659560067681898,30,30,6,10,1.0,1.0,1.0
DTREE,config2_no_fsk,5,rayleigh,0.2436548223350254,30,30,4,12,1.0,1.0,1.0
DTREE,config2_no_fsk,5,rician,0.2474143401015229,30,30,9,13,1.0,1.0,1.0
DTREE,config2_no_fsk,10,awgn,0.2436548223350254,30,30,12,6,1.0,1.0,1.0
DTREE,config2_no_fsk,10,rayleigh,0.21700879765395895,30,30,13,6,1.0,1.0,1.0
DTREE,config2_no_fsk,10,rician,0.2436548223350254,30,30,7,9,1.0,1.0,1.0
KNN,config2_no_fsk,-20,awgn,0.32286605671747637,30,30,6,7,0.26666666666666666,0.0,0.2857142857142857
KNN,config2_no_fsk,-20,rayleigh,0.29823703572632043,30,30,9,7,0.23333333333333334,0.1111111111111111,0.2857142857142857
KNN,config2_no_fsk,-20,rician,0.27797814849061014,30,30,13,1,0.2,0.3076923076923077,1.0
KNN,config2_no_fsk,-15,awgn,0.34032166213583886,30,30,4,11,0.2,0.25,0.09090909090909091
KNN,config2_no_fsk,-15,rayleigh,0.31650509074521543,30,30,8,8,0.16666666666666666,0.0,0.25
KNN,config2_no_fsk,-15,rician,0.35829522952091425,30,30,5,11,0.16666666666666666,0.2,0.18181818181818182
KNN,config2_no_fsk,-10,awgn,0.30659093856020203,30,30,5,7,0.8,0.8,0.7142857142857143
KNN,config2_no_fsk,-10,rayleigh,0.2586279014787496,30,30,10,6,0.7333333333333333,0.8,0.6666666666666666
KNN,config2_no_fsk,-10,rician,0.2858147546770144,30,30,12,9,0.9,0.9166666666666666,0.7777777777777778
KNN,config2_no_fsk,-5,awgn,0.2637768979271078,30,30,7,4,1.0,1.0,1.0
KNN,config2_no_fsk,-5,rayleigh,0.3180173860280472,30,30,7,7,0.9,1.0,0.8571428571428571
KNN,config2_no_fsk,-5,rician,0.27046489504359217,30,30,6,8,1.0,1.0,1.0
KNN,config2_no_fsk,0,awgn,0.2547606111608546,30,30,5,7,1.0,1.0,1.0
KNN,config2_no_fsk,0,rayleigh,0.26898244994348075,30,30,5,10,0.9666666666666667,1.0,0.9
KNN,config2_no_fsk,0,rician,0.3309854254858037,30,30,7,6,1.0,1.0,1.0
KNN,config2_no_fsk,5,awgn,0.32453513781745935,30,30,6,10,1.0,1.0,1.0
KNN,config2_no_fsk,5,rayleigh,0.2469752148151733,30,30,4,12,1.0,1.0,1.0
KNN,config2_no_fsk,5,rician,0.25179505151938575,30,30,9,13,1.0,1.0,1.0
KNN,config2_no_fsk,10,awgn,0.35178334721163573,30,30,12,6,1.0,1.0,1.0
KNN,config2_no_fsk,10,rayleigh,0.28254556506212575,30,30,13,6,1.0,1.0,1.0
KNN,config2_no_fsk,10,rician,0.32506150617904356,30,30,7,9,1.0,1.0,1.0
SVM,config2_no_fsk,-20,awgn,0.37537155724346416,30,30,6,7,0.3333333333333333,0.5,0.2857142857142857
SVM,config2_no_fsk,-20,rayleigh,0.30476042578508605,30,30,9,7,0.26666666666666666,0.3333333333333333,0.42857142857142855
SVM,config2_no_fsk,-20,rician,0.45029461202182847,30,30,13,1,0.2,0.46153846153846156,0.0
SVM,config2_no_fsk,-15,awgn,0.3633079969386168,30,30,4,11,0.5333333333333333,0.75,0.45454545454545453
SVM,config2_no_fsk,-15,rayleigh,0.36265802851926593,30,30,8,8,0.5333333333333333,0.375,0.625
SVM,config2_no_fsk,-15,rician,0.4606347353585852,30,30,5,11,0.36666666666666664,0.4,0.45454545454545453
SVM,config2_no_fsk,-10,awgn,0.309506305937485,30,30,5,7,1.0,1.0,1.0
SVM,config2_no_fsk,-10,rayleigh,0.3311321080080485,30,30,10,6,0.7333333333333333,0.7,0.8333333333333334
SVM,config2_no_fsk,-10,rician,0.27277912481475697,30,30,12,9,0.9333333333333333,0.9166666666666666,0.8888888888888888
SVM,config2_no_fsk,-5,awgn,0.2606971108030484,30,30,7,4,1.0,1.0,1.0
SVM,config2_no_fsk,-5,rayleigh,0.39026117360035234,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
SVM,config2_no_fsk,-5,rician,0.3486612365461115,30,30,6,8,1.0,1.0,1.0
SVM,config2_no_fsk,0,awgn,0.4076302936432248,30,30,5,7,1.0,1.0,1.0
SVM,config2_no_fsk,0,rayleigh,0.28682028395384973,30,30,5,10,0.9666666666666667,1.0,0.9
SVM,config2_no_fsk,0,rician,0.3905376718016985,30,30,7,6,1.0,1.0,1.0
SVM,config2_no_fsk,5,awgn,0.38024010967941363,30,30,6,10,1.0,1.0,1.0
SVM,config2_no_fsk,5,rayleigh,0.2620780555870964,30,30,4,12,1.0,1.0,1.0
SVM,config2_no_fsk,5,rician,0.32601807178554354,30,30,9,13,1.0,1.0,1.0
SVM,config2_no_fsk,10,awgn,0.47701095790772285,30,30,12,6,1.0,1.0,1.0
SVM,config2_no_fsk,10,rayleigh,0.33438228677514575,30,30,13,6,1.0,1.0,1.0
SVM,config2_no_fsk,10,rician,0.3416606093527902,30,30,7,9,1.0,1.0,1.0
RF,config2_no_fsk,-20,awgn,0.3659761752879737,30,30,6,7,0.13333333333333333,0.16666666666666666,0.0
RF,config2_no_fsk,-20,rayleigh,0.2815606633293157,30,30,9,7,0.3,0.3333333333333333,0.42857142857142855
RF,config2_no_fsk,-20,rician,0.2766224697608835,30,30,13,1,0.3,0.6153846153846154,0.0
RF,config2_no_fsk,-15,awgn,0.31955261316595635,30,30,4,11,0.4666666666666667,0.75,0.2727272727272727
RF,config2_no_fsk,-15,rayleigh,0.2634953255820565,30,30,8,8,0.4666666666666667,0.25,0.5
RF,config2_no_fsk,-15,rician,0.3484843614298215,30,30,5,11,0.43333333333333335,0.8,0.36363636363636365
RF,config2_no_fsk,-10,awgn,0.29160236218304825,30,30,5,7,1.0,1.0,1.0
RF,config2_no_fsk,-10,rayleigh,0.27620825870229,30,30,10,6,0.7333333333333333,0.8,0.6666666666666666
RF,config2_no_fsk,-10,rician,0.26555482731573793,30,30,12,9,0.9,1.0,0.6666666666666666
RF,config2_no_fsk,-5,awgn,0.24193110879499738,30,30,7,4,1.0,1.0,1.0
RF,config2_no_fsk,-5,rayleigh,0.34235418481544283,30,30,7,7,0.8666666666666667,0.8571428571428571,0.7142857142857143
RF,config2_no_fsk,-5,rician,0.31520369216647864,30,30,6,8,1.0,1.0,1.0
RF,config2_no_fsk,0,awgn,0.28748609081567067,30,30,5,7,1.0,1.0,1.0
RF,config2_no_fsk,0,rayleigh,0.2508659101860377,30,30,5,10,0.9666666666666667,1.0,0.9
RF,config2_no_fsk,0,rician,0.24146392499157898,30,30,7,6,1.0,1.0,1.0
RF,config2_no_fsk,5,awgn,0.33902827238153727,30,30,6,10,1.0,1.0,1.0
RF,config2_no_fsk,5,rayleigh,0.2389069808772951,30,30,4,12,1.0,1.0,1.0
RF,config2_no_fsk,5,rician,0.30267321615690856,30,30,9,13,1.0,1.0,1.0
RF,config2_no_fsk,10,awgn,0.2677359031028724,30,30,12,6,1.0,1.0,1.0
RF,config2_no_fsk,10,rayleigh,0.2584200212052527,30,30,13,6,1.0,1.0,1.0
RF,config2_no_fsk,10,rician,0.2954396483802747,30,30,7,9,1.0,1.0,1.0
MLP,config2_no_fsk,-20,awgn,0.393350600891725,30,30,6,7,0.26666666666666666,0.3333333333333333,0.14285714285714285
MLP,config2_no_fsk,-20,rayleigh,0.3532131271881019,30,30,9,7,0.23333333333333334,0.3333333333333333,0.2857142857142857
MLP,config2_no_fsk,-20,rician,0.42549172683978365,30,30,13,1,0.2,0.46153846153846156,0.0
MLP,config2_no_fsk,-15,awgn,0.3487407841060496,30,30,4,11,0.6,0.75,0.45454545454545453
MLP,config2_no_fsk,-15,rayleigh,0.38512593208876694,30,30,8,8,0.5,0.375,0.5
MLP,config2_no_fsk,-15,rician,0.4789423406320318,30,30,5,11,0.36666666666666664,0.4,0.45454545454545453
MLP,config2_no_fsk,-10,awgn,0.366827630204977,30,30,5,7,1.0,1.0,1.0
MLP,config2_no_fsk,-10,rayleigh,0.32241021880853304,30,30,10,6,0.7666666666666667,0.8,0.8333333333333334
MLP,config2_no_fsk,-10,rician,0.24980517215834516,30,30,12,9,0.9333333333333333,0.9166666666666666,0.8888888888888888
MLP,config2_no_fsk,-5,awgn,0.24579832722262043,30,30,7,4,1.0,1.0,1.0
MLP,config2_no_fsk,-5,rayleigh,0.40552392372395746,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
MLP,config2_no_fsk,-5,rician,0.3519675464500284,30,30,6,8,1.0,1.0,1.0
MLP,config2_no_fsk,0,awgn,0.3191312455436785,30,30,5,7,1.0,1.0,1.0
MLP,config2_no_fsk,0,rayleigh,0.30074017534477043,30,30,5,10,0.9666666666666667,1.0,0.9
MLP,config2_no_fsk,0,rician,0.35793034226324505,30,30,7,6,1.0,1.0,1.0
MLP,config2_no_fsk,5,awgn,0.3430064250204426,30,30,6,10,1.0,1.0,1.0
MLP,config2_no_fsk,5,rayleigh,0.27331936458950734,30,30,4,12,1.0,1.0,1.0
MLP,config2_no_fsk,5,rician,0.3956848629547475,30,30,9,13,1.0,1.0,1.0
MLP,config2_no_fsk,10,awgn,0.4443371085589329,30,30,12,6,1.0,1.0,1.0
MLP,config2_no_fsk,10,rayleigh,0.34158954043873135,30,30,13,6,1.0,1.0,1.0
MLP,config2_no_fsk,10,rician,0.32432969851574517,30,30,7,9,1.0,1.0,1.0
