model,training,snr_db,channel,threshold,n_h0,n_h1_all,n_h1_16qam,n_h1_fsk,Pd_all,Pd_16qam_only,Pd_fsk_only
KNN,matched,0,rician,0.36400000000000005,30,30,7,6,1.0,1.0,1.0
KNN,matched,5,awgn,0.36,30,30,6,10,1.0,1.0,1.0
KNN,matched,5,rayleigh,0.32400000000000007,30,30,4,12,1.0,1.0,1.0
KNN,matched,5,rician,0.32,30,30,9,13,1.0,1.0,1.0
KNN,matched,10,awgn,0.36400000000000005,30,30,12,6,1.0,1.0,1.0
KNN,matched,10,rayleigh,0.32400000000000007,30,30,13,6,1.0,1.0,1.0
KNN,matched,10,rician,0.36400000000000005,30,30,7,9,1.0,1.0,1.0
SVM,matched,-20,awgn,0.42797224170816195,30,30,6,7,0.26666666666666666,0.5,0.14285714285714285
SVM,matched,-20,rayleigh,0.3650041776134915,30,30,9,7,0.26666666666666666,0.3333333333333333,0.42857142857142855
SVM,matched,-20,rician,0.5211074668553068,30,30,13,1,0.2,0.46153846153846156,0.0
SVM,matched,-15,awgn,0.44893338449246056,30,30,4,11,0.4666666666666667,0.5,0.36363636363636365
SVM,matched,-15,rayleigh,0.42693073805202525,30,30,8,8,0.5,0.375,0.5
SVM,matched,-15,rician,0.5226423568865141,30,30,5,11,0.3333333333333333,0.4,0.36363636363636365
SVM,matched,-10,awgn,0.3789901550043068,30,30,5,7,1.0,1.0,1.0
SVM,matched,-10,rayleigh,0.3828825603718148,30,30,10,6,0.7666666666666667,0.7,1.0
SVM,matched,-10,rician,0.3471257075943448,30,30,12,9,0.9333333333333333,0.9166666666666666,0.8888888888888888
SVM,matched,-5,awgn,0.30355309604660013,30,30,7,4,1.0,1.0,1.0
SVM,matched,-5,rayleigh,0.4524867726131015,30,30,7,7,0.9333333333333333,1.0,0.8571428571428571
SVM,matched,-5,rician,0.42326875206861936,30,30,6,8,1.0,1.0,1.0
SVM,matched,0,awgn,0.4572890291745019,30,30,5,7,1.0,1.0,1.0
SVM,matched,0,rayleigh,0.34150124530463777,30,30,5,10,0.9666666666666667,1.0,0.9
SVM,matched,0,rician,0.4113328144487214,30,30,7,6,1.0,1.0,1.0
SVM,matched,5,awgn,0.4710839311816196,30,30,6,10,1.0,1.0,1.0
SVM,matched,5,rayleigh,0.2872976254667834,30,30,4,12,1.0,1.0,1.0
SVM,matched,5,rician,0.39065779925214006,30,30,9,13,1.0,1.0,1.0
SVM,matched,10,awgn,0.5165614727287617,30,30,12,6,1.0,1.0,1.0
SVM,matched,10,rayleigh,0.3789823297487373,30,30,13,6,1.0,1.0,1.0
SVM,matched,10,rician,0.379876966089281,30,30,7,9,1.0,1.0,1.0
RF,matched,-20,awgn,0.43014670759880885,30,30,6,7,0.16666666666666666,0.3333333333333333,0.14285714285714285
RF,matched,-20,rayleigh,0.3232429465520287,30,30,9,7,0.26666666666666666,0.3333333333333333,0.2857142857142857
RF,matched,-20,rician,0.32863516177296026,30,30,13,1,0.3333333333333333,0.6153846153846154,0.0
RF,matched,-15,awgn,0.41001407559183456,30,30,4,11,0.4666666666666667,0.75,0.2727272727272727
RF,matched,-15,rayleigh,0.3337367816053774,30,30,8,8,0.5,0.25,0.625
RF,matched,-15,rician,0.3803355454121226,30,30,5,11,0.5,1.0,0.36363636363636365
RF,matched,-10,awgn,0.3753025396113714,30,30,5,7,1.0,1.0,1.0
RF,matched,-10,rayleigh,0.3397379737531775,30,30,10,6,0.7333333333333333,0.8,0.6666666666666666
RF,matched,-10,rician,0.33597592638453033,30,30,12,9,0.8666666666666667,1.0,0.7777777777777778
RF,matched,-5,awgn,0.3256346653938223,30,30,7,4,1.0,1.0,1.0
RF,matched,-5,rayleigh,0.39798574751522225,30,30,7,7,0.9,0.8571428571428571,0.8571428571428571
RF,matched,-5,rician,0.3507175128805878,30,30,6,8,1.0,1.0,1.0
RF,matched,0,awgn,0.3126594738157598,30,30,5,7,1.0,1.0,1.0
RF,matched,0,rayleigh,0.27183356762288835,30,30,5,10,0.9666666666666667,1.0,0.9
RF,matched,0,rician,0.33290915925705344,30,30,7,6,1.0,1.0,1.0
RF,matched,5,awgn,0.4395049472818642,30,30,6,10,1.0,1.0,1.0
RF,matched,5,rayleigh,0.3312130415421398,30,30,4,12,1.0,1.0,1.0
